"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"TLY","TERA PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","26,8553","117,4236","686,7366","945,1341","3.958,7319","44.993,5189","-"
"ZJI","ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","7,9508","10,2532","60,8119","63,6961","197,3126","622,0508","-"
"ZJB","ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","7,0962","8,1442","56,1176","58,7951","187,9353","595,7431","-"
"IIE","İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","4,4720","4,9358","64,9317","75,3421","137,5774","-","-"
"DDF","DENİZ PORTFÖY DİNAMO SERBEST FON","Serbest Şemsiye Fonu","7,3734","11,3327","67,9202","65,3972","121,2932","405,5860","585,9965"
"RTP","RE-PIE PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","7,1267","14,3733","30,9481","36,9902","94,6685","710,8116","-"
"NAU","NEO PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,8852","4,1640","36,0694","44,4312","93,0070","-","-"
"HGV","HEDEF PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","25,7929","48,3695","55,5827","62,8091","87,6621","397,3292","-"
"BDC","AURA PORTFÖY BODRUM SERBEST FON","Serbest Şemsiye Fonu","14,5589","42,8330","48,7954","57,4403","83,8167","553,4384","-"
"HAM","HEDEF PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,7119","3,6391","39,2449","44,8603","83,6925","-","-"
"ZCD","ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON","Serbest Şemsiye Fonu","16,7066","21,9328","32,9688","36,1706","83,4920","-","-"
